row_id,source_locator,catalyst,field,value,unit,context_or_qualifier,evidence_level,expert_decision,expert_note
G001,main PDF page 2-3; Fig.1g-h,Mo1/Fe2O3,active_site_type,dinuclear Mo1-Fe1,,isolated Mo with adjacent surface Fe,author_identification,,
G002,main PDF page 2; Fig.1h,Mo1/Fe2O3,active_site_distance,2.9,Å,Mo-Fe distance in structural model,structure_model,,
G003,supplementary page 7; Table 1,Mo1/Fe2O3,coordination_number,6,1,Mo-O shell,EXAFS_fit,,
G004,supplementary page 7; Table 1,Mo1/Fe2O3,bond_distance,1.88(7),Å,Mo-O shell,EXAFS_fit,,
G005,supplementary page 7; Table 1,Mo1/Fe2O3,coordination_number,1,1,first Mo-Fe shell,EXAFS_fit,,
G006,supplementary page 7; Table 1,Mo1/Fe2O3,bond_distance,2.86(4),Å,first Mo-Fe shell,EXAFS_fit,,
G007,supplementary page 7; Table 1,Mo1/Fe2O3,coordination_number,3,1,second Mo-Fe shell,EXAFS_fit,,
G008,supplementary page 7; Table 1,Mo1/Fe2O3,bond_distance,2.93(7),Å,second Mo-Fe shell,EXAFS_fit,,
G009,m+F3+B10:D10+B10:C10+B10:F11,Mo1/Fe2O3,mo_oxidation_state,5,+,XANES interpretation supported by XPS,characterization_supported,,
G010,main PDF page 3; Supplementary Fig.9-10,Mo1/Fe2O3,acid_site_type,Brønsted-to-Lewis,,MoO6H site under SCR conditions,author_interpretation,,
G011,main PDF page 3; Fig.1 caption,Mo1/Fe2O3,mo_loading,1.3,wt%,relative to alpha-Fe2O3,XRF_reported,,
G012,main PDF page 3; Fig.3b,Mo1/Fe2O3,apparent_activation_energy,86 ± 4,kJ/mol,different Mo loadings,derived_from_arrhenius,,
G013,main PDF page 3; Supplementary Fig.17,Mo1/Fe2O3,turnover_frequency,~1.7e-3,s^-1,270 degC; converted NO per ACS,calculated_by_authors,,
G014,main PDF page 6; Catalytic evaluations,all activity samples,pressure,atmospheric,,standard activity measurement,reported_condition,,
G015,main PDF page 6; Catalytic evaluations,all activity samples,no_inlet,500,ppm,standard activity measurement,reported_condition,,
G016,main PDF page 6; Catalytic evaluations,all activity samples,nh3_inlet,500,ppm,standard activity measurement,reported_condition,,
G017,main PDF page 6; Catalytic evaluations,all activity samples,o2_inlet,3,vol%,standard activity measurement,reported_condition,,
G018,main PDF page 6; Catalytic evaluations,all activity samples,ghsv,800000,h^-1,standard activity measurement,reported_condition,,
G019,main PDF page 6; durability method,Mo1/Fe2O3,temperature,300,degC,H2O/SO2 durability,reported_condition,,
G020,main PDF page 6; durability method,Mo1/Fe2O3,so2_inlet,200,ppm,when SO2 is used,reported_condition,,
G021,main PDF page 6; durability method,Mo1/Fe2O3,h2o_inlet,5,vol%,when H2O is used,reported_condition,,
G022,supplementary Fig.11,Mo1/Fe2O3 series,no_conversion_curve,,,different Mo loadings; requires curve digitization,figure_data,,
G023,supplementary Fig.12,Mo1/Fe2O3 and alpha-Fe2O3,n2_selectivity_curve,,,GHSV 66000 h^-1; requires curve digitization,figure_data,,
G024,supplementary Fig.13,Mo1/Fe2O3,durability_curve,,,H2O/SO2 at 300 degC; requires curve digitization,figure_data,,
