row_id,source_locator,catalyst,field,value,unit,context_or_qualifier,evidence_level,expert_decision,expert_note,字段说明（中文）,符号与审核提示,coverage_status,coverage_detail
G001,main PDF page 2-3; Fig.1g-h,Mo1/Fe2O3,active_site_type,dinuclear Mo1-Fe1,,isolated Mo with adjacent surface Fe,author_identification,approve,,活性中心类型：相邻的单原子 Mo 与表面 Fe 构成双核位点。,定性字段；判断作者是否给出了足够证据。,missing,no matching automatic candidate
G002,main PDF page 2; Fig.1h,Mo1/Fe2O3,active_site_distance,2.9,Å,Mo-Fe distance in structural model,structure_model,approve,,结构模型中的 Mo-Fe 活性位距离。,Å 是埃，1 Å = 0.1 nm。,missing,no matching automatic candidate
G003,supplementary page 7; Table 1,Mo1/Fe2O3,coordination_number,6,1,Mo-O shell,EXAFS_fit,approve,,EXAFS 拟合得到的 Mo-O 配位数。,CN 是配位数。,covered,1 strict candidate match(es)
G004,supplementary page 7; Table 1,Mo1/Fe2O3,bond_distance,1.88(7),Å,Mo-O shell,EXAFS_fit,approve,,EXAFS 拟合得到的 Mo-O 键长。,1.88(7) 表示中心值 1.88 Å，括号为末位不确定度。,covered,1 strict candidate match(es)
G005,supplementary page 7; Table 1,Mo1/Fe2O3,coordination_number,1,1,first Mo-Fe shell,EXAFS_fit,approve,,EXAFS 拟合的第一组 Mo-Fe 配位数。,需与壳层和键长成组保留。,covered,1 strict candidate match(es)
G006,supplementary page 7; Table 1,Mo1/Fe2O3,bond_distance,2.86(4),Å,first Mo-Fe shell,EXAFS_fit,approve,,EXAFS 拟合的第一组 Mo-Fe 距离。,Å 是埃，1 Å = 0.1 nm。,covered,1 strict candidate match(es)
G007,supplementary page 7; Table 1,Mo1/Fe2O3,coordination_number,3,1,second Mo-Fe shell,EXAFS_fit,approve,,EXAFS 拟合的第二组 Mo-Fe 配位数。,需与壳层和键长成组保留。,covered,1 strict candidate match(es)
G008,supplementary page 7; Table 1,Mo1/Fe2O3,bond_distance,2.93(7),Å,second Mo-Fe shell,EXAFS_fit,approve,,EXAFS 拟合的第二组 Mo-Fe 距离。,Å 是埃，1 Å = 0.1 nm。,covered,1 strict candidate match(es)
G009,main PDF page 3; Fig.2b; Supplementary Fig.7,Mo1/Fe2O3,mo_oxidation_state,5,+,XANES interpretation supported by XPS,characterization_supported,approve,,Mo 的氧化态为 +5。作者根据 XANES 峰面积判断，并用 Mo 3d XPS 佐证。,数值 5 与单位 + 合起来表示 Mo⁵⁺；证据等级是“多种表征支持”。,missing,no matching automatic candidate
G010,main PDF page 3; Supplementary Fig.9-10,Mo1/Fe2O3,acid_site_type,Brønsted-to-Lewis,,MoO6H site under SCR conditions,author_interpretation,approve,,酸位类型：MoO6H 提供 Brønsted 酸位，作者认为其在 SCR 温度下可转为 Lewis 酸位。,这是作者的机理解释，不是一个连续数值。,missing,no matching automatic candidate
G011,main PDF page 3; Fig.1 caption,Mo1/Fe2O3,mo_loading,1.3,wt%,relative to alpha-Fe2O3,XRF_reported,approve,,相对于 α-Fe2O3 的 Mo 质量负载量。,wt% 表示质量百分数。,partial,"value found, but catalyst/sample identity does not match or is missing"
G012,main PDF page 3; Fig.3b,Mo1/Fe2O3,apparent_activation_energy,86 ± 4,kJ/mol,different Mo loadings,derived_from_arrhenius,approve,,表观活化能及其报告误差。,86 ± 4 表示中心值 86、误差 4 kJ/mol。,missing,no matching automatic candidate
G013,main PDF page 3; Supplementary Fig.17,Mo1/Fe2O3,turnover_frequency,~1.7e-3,s^-1,270 degC; converted NO per ACS,calculated_by_authors,approve,,单位活性中心每秒转化的 NO 分子数。,~ 表示近似值；TOF 约为 1.7×10⁻³ s⁻¹。,missing,no matching automatic candidate
